"id","code","name","parent_id/id"
"campos_event.comm_AKU","AKU","Aktiviteter & Uddannelse",""
"campos_event.comm_BRA","BRA","Budget, Regnskab og Administration",""
"campos_event.comm_BRA-spon","","Sponsorarbejde","campos_event.comm_BRA"
"campos_event.comm_DU","DU","Deltager & Underlejr",""
"campos_event.comm_ES","ES","Event & Spejderånd",""
"campos_event.comm_HIF","HIF","Handel Indkøb & Forplejning",""
"campos_event.comm_HR","HR","Human Resource",""
"campos_event.comm_HR_adm","","Administration","campos_event.comm_HR"
"campos_event.comm_HR_it","","IT","campos_event.comm_HR"
"campos_event.comm_HR_job","","Jobcenter","campos_event.comm_HR"
"campos_event.comm_HR_vjob","","Virtuelt jobcenter","campos_event.comm_HR_job"
"campos_event.comm_HR_slnk","","Sønderborg link","campos_event.comm_HR"
"campos_event.comm_HR_triv","","Trivsel","campos_event.comm_HR"
