"id","code","name"
"0000","0000","00:00 - 00:30"
"0030","0030","00:30 - 01:00"
"0100","0100","01:00 - 01:30"
"0130","0130","01:30 - 02:00"
"0200","0200","02:00 - 02:30"
"0230","0230","02:30 - 03:00"
"0300","0300","03:00 - 03:30"
"0330","0330","03:30 - 04:00"
"0400","0400","04:00 - 04:30"
"0430","0430","04:30 - 05:00"
"0500","0500","05:00 - 05:30"
"0530","0530","05:30 - 06:00"
"0600","0600","06:00 - 06:30"
"0630","0630","06:30 - 07:00"
"0700","0700","07:00 - 07:30"
"0730","0730","07:30 - 08:00"
"0800","0800","08:00 - 08:30"
"0830","0830","08:30 - 09:00"
"0900","0900","09:00 - 09:30"
"0930","0930","09:30 - 10:00"
"1000","1000","10:00 - 10:30"
"1030","1030","10:30 - 11:00"
"1100","1100","11:00 - 11:30"
"1130","1130","11:30 - 12:00"
"1200","1200","12:00 - 12:30"
"1230","1230","12:30 - 13:00"
"1300","1300","13:00 - 13:30"
"1330","1330","13:30 - 14:00"
"1400","1400","14:00 - 14:30"
"1430","1430","14:30 - 15:00"
"1500","1500","15:00 - 15:30"
"1530","1530","15:30 - 16:00"
"1600","1600","16:00 - 16:30"
"1630","1630","16:30 - 17:00"
"1700","1700","17:00 - 17:30"
"1730","1730","17:30 - 18:00"
"1800","1800","18:00 - 18:30"
"1830","1830","18:30 - 19:00"
"1900","1900","19:00 - 19:30"
"1930","1930","19:30 - 20:00"
"2000","2000","20:00 - 20:30"
"2030","2030","20:30 - 21:00"
"2100","2100","21:00 - 21:30"
"2130","2130","21:30 - 22:00"
"2200","2200","22:00 - 22:30"
"2230","2230","22:30 - 23:00"
"2300","2300","23:00 - 23:30"
"2330","2330","23:00 - 00:00"
